REG;Région;DEP;CODARR;CODCAN;CODCOM;COM;Commune;PMUN;PCAP;PTOT;NB_D401;NB_D402;NB_D403;NB_D502;NB_D601;NB_D602;NB_D603;NB_D604;NB_D605;NB_D606;NB_D701;NB_D702;NB_D703;NB_D704;NB_D705;NB_D709;NB_B101;NB_B102;NB_B103;NB_B201;NB_B202;NB_B203;NB_B204;NB_B205;NB_B206;NB_B301;NB_B302;NB_B303;NB_B304;NB_B305;NB_B306;NB_B307;NB_B308;NB_B309;NB_B310;NB_B311;NB_B312;NB_B313;NB_B315;NB_B316;NB_C101;NB_C101_NB_CANT;NB_C101_NB_EP;NB_C101_NB_RPIC;NB_C102;NB_C102_NB_CANT;NB_C102_NB_EP;NB_C104;NB_C104_NB_CANT;NB_C104_NB_PELEM;NB_C104_NB_EP;NB_C104_NB_RPIC;NB_C105;NB_C105_NB_CANT;NB_C105_NB_PELEM;NB_C105_NB_EP;NB_C101PR;NB_C101PR_NB_CANT;NB_C101PR_NB_EP;NB_C101PR_NB_RPIC;NB_C102PR;NB_C102PR_NB_CANT;NB_C102PR_NB_EP;NB_C104PR;NB_C104PR_NB_CANT;NB_C104PR_NB_PELEM;NB_C104PR_NB_EP;NB_C104PR_NB_RPIC;NB_C105PR;NB_C105PR_NB_CANT;NB_C105PR_NB_PELEM;NB_C105PR_NB_EP;NB_C101PU;NB_C101PU_NB_CANT;NB_C101PU_NB_EP;NB_C101PU_NB_RPIC;NB_C102PU;NB_C102PU_NB_CANT;NB_C102PU_NB_EP;NB_C104PU;NB_C104PU_NB_CANT;NB_C104PU_NB_PELEM;NB_C104PU_NB_EP;NB_C104PU_NB_RPIC;NB_C105PU;NB_C105PU_NB_CANT;NB_C105PU_NB_PELEM;NB_C105PU_NB_EP;NB_C201;NB_C201_NB_CANT;NB_C201_NB_EP;NB_C201_NB_INT;NB_C301;NB_C301_NB_CANT;NB_C301_NB_PGE;NB_C301_NB_EP;NB_C301_NB_INT;NB_C302;NB_C302_NB_CANT;NB_C302_NB_PGE;NB_C302_NB_EP;NB_C302_NB_INT;NB_C303;NB_C303_NB_CANT;NB_C303_NB_PGE;NB_C303_NB_INT;NB_C304;NB_C304_NB_CANT;NB_C304_NB_INT;NB_C305;NB_C305_NB_CANT;NB_C305_NB_INT;NB_C201PR;NB_C201PR_NB_CANT;NB_C201PR_NB_EP;NB_C201PR_NB_INT;NB_C301PR;NB_C301PR_NB_CANT;NB_C301PR_NB_PGE;NB_C301PR_NB_EP;NB_C301PR_NB_INT;NB_C302PR;NB_C302PR_NB_CANT;NB_C302PR_NB_PGE;NB_C302PR_NB_EP;NB_C302PR_NB_INT;NB_C303PR;NB_C303PR_NB_CANT;NB_C303PR_NB_PGE;NB_C303PR_NB_INT;NB_C304PR;NB_C304PR_NB_CANT;NB_C304PR_NB_INT;NB_C305PR;NB_C305PR_NB_CANT;NB_C305PR_NB_INT;NB_C201PU;NB_C201PU_NB_CANT;NB_C201PU_NB_EP;NB_C201PU_NB_INT;NB_C301PU;NB_C301PU_NB_CANT;NB_C301PU_NB_PGE;NB_C301PU_NB_EP;NB_C301PU_NB_INT;NB_C302PU;NB_C302PU_NB_CANT;NB_C302PU_NB_PGE;NB_C302PU_NB_EP;NB_C302PU_NB_INT;NB_C303PU;NB_C303PU_NB_CANT;NB_C303PU_NB_PGE;NB_C303PU_NB_INT;NB_C304PU;NB_C304PU_NB_CANT;NB_C304PU_NB_INT;NB_C305PU;NB_C305PU_NB_CANT;NB_C305PU_NB_INT;NB_C401;NB_C402;NB_C403;NB_C409;NB_C501;NB_C502;NB_C503;NB_C504;NB_C505;NB_C505_NB_INT;NB_C509;NB_C601;NB_C602;NB_C603;NB_C604;NB_C605;NB_C605_NB_INT;NB_C609;NB_C701;NB_C702;NB_C401PR;NB_C402PR;NB_C403PR;NB_C409PR;NB_C501PR;NB_C502PR;NB_C503PR;NB_C504PR;NB_C505PR;NB_C505PR_NB_INT;NB_C509PR;NB_C601PR;NB_C602PR;NB_C603PR;NB_C604PR;NB_C605PR;NB_C605PR_NB_INT;NB_C609PR;NB_C701PR;NB_C702PR;NB_C401PU;NB_C402PU;NB_C403PU;NB_C409PU;NB_C501PU;NB_C502PU;NB_C503PU;NB_C505PU;NB_C505PU_NB_INT;NB_C509PU;NB_C601PU;NB_C602PU;NB_C603PU;NB_C604PU;NB_C605PU;NB_C605PU_NB_INT;NB_C609PU;NB_C701PU;NB_C702PU;NB_D201;NB_D202;NB_D203;NB_D206;NB_D207;NB_D208;NB_D209;NB_D210;NB_D211;NB_D212;NB_D213;NB_D214;NB_D221;NB_D231;NB_D232;NB_D233;NB_D235;NB_D236;NB_D237;NB_D238;NB_D239;NB_D240;NB_D242;NB_D243;NB_A101;NB_A104;NB_A105;NB_A108;NB_A109;NB_A120;NB_A121;NB_A122;NB_A124;NB_A125;NB_A126;NB_A128;NB_A129;NB_A130;NB_A131;NB_A132;NB_A203;NB_A205;NB_A206;NB_A207;NB_A208;NB_A301;NB_A302;NB_A303;NB_A304;NB_A401;NB_A402;NB_A403;NB_A404;NB_A405;NB_A406;NB_A501;NB_A502;NB_A503;NB_A504;NB_A505;NB_A506;NB_A507;NB_D101;NB_D102;NB_D103;NB_D104;NB_D105;NB_D106;NB_D107;NB_D108;NB_D109;NB_D110;NB_D111;NB_D112;NB_D113;NB_D302;NB_D303;NB_D304;NB_D305;NB_D307;NB_F101;NB_F101_NB_AIREJEU;NB_F101_NB_COU;NB_F101_NB_ECL;NB_F102;NB_F102_NB_AIREJEU;NB_F102_NB_COU;NB_F102_NB_ECL;NB_F103;NB_F103_NB_AIREJEU;NB_F103_NB_COU;NB_F103_NB_ECL;NB_F104;NB_F104_NB_AIREJEU;NB_F104_NB_COU;NB_F104_NB_ECL;NB_F105;NB_F105_NB_AIREJEU;NB_F105_NB_COU;NB_F105_NB_ECL;NB_F106;NB_F106_NB_AIREJEU;NB_F106_NB_COU;NB_F106_NB_ECL;NB_F107;NB_F107_NB_AIREJEU;NB_F107_NB_COU;NB_F107_NB_ECL;NB_F108;NB_F108_NB_AIREJEU;NB_F108_NB_COU;NB_F108_NB_ECL;NB_F109;NB_F109_NB_AIREJEU;NB_F109_NB_COU;NB_F109_NB_ECL;NB_F110;NB_F110_NB_AIREJEU;NB_F110_NB_COU;NB_F110_NB_ECL;NB_F111;NB_F111_NB_AIREJEU;NB_F111_NB_COU;NB_F111_NB_ECL;NB_F112;NB_F112_NB_AIREJEU;NB_F112_NB_COU;NB_F112_NB_ECL;NB_F113;NB_F113_NB_AIREJEU;NB_F113_NB_COU;NB_F113_NB_ECL;NB_F114;NB_F114_NB_AIREJEU;NB_F114_NB_COU;NB_F114_NB_ECL;NB_F116;NB_F116_NB_AIREJEU;NB_F116_NB_COU;NB_F116_NB_ECL;NB_F117;NB_F117_NB_AIREJEU;NB_F117_NB_COU;NB_F117_NB_ECL;NB_F118;NB_F118_NB_AIREJEU;NB_F118_NB_COU;NB_F118_NB_ECL;NB_F119;NB_F119_NB_AIREJEU;NB_F119_NB_COU;NB_F119_NB_ECL;NB_F120;NB_F120_NB_AIREJEU;NB_F120_NB_COU;NB_F120_NB_ECL;NB_F121;NB_F121_NB_AIREJEU;NB_F121_NB_COU;NB_F121_NB_ECL;NB_F201;NB_F201_NB_AIREJEU;NB_F202;NB_F202_NB_AIREJEU;NB_F203;NB_F203_NB_AIREJEU;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES;NB_E101;NB_E102;NB_E107;NB_E108;NB_E109;NB_G101;NB_G102;NB_G103;NB_G104
84;Auvergne-Rhône-Alpes;38;1;20;317;38317;Le Pont-de-Claix;10805;86;10891;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;5;0;0;2;0;0;0;0;1;0;0;1;0;1;2;2;0;1;6;5;6;0;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;6;0;0;0;0;4;4;0;4;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;0;1;0;3;0;0;0;0;2;0;1;3;3;20;8;8;3;4;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;6;1;1;1;0;29;2;1;2;18;30;11;14;16;2;7;3;2;28;9;2;12;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;4;1;2;1;1;3;4;2;2;2;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;1;3;3;3;3;4;6;0;3;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;0;0;0;1;1;1;1;0
84;Auvergne-Rhône-Alpes;38;1;10;382;38382;Saint-Égrève;16995;221;17216;1;0;0;5;0;0;7;0;0;0;1;0;0;0;0;1;1;3;2;3;4;9;4;1;0;8;13;6;2;3;42;9;1;5;2;1;3;5;3;2;5;3;0;0;0;0;0;7;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;5;3;0;0;0;0;0;6;4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;2;0;4;0;0;1;0;0;0;2;9;2;26;35;12;3;4;0;1;1;4;11;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;8;0;1;0;0;23;2;3;4;10;22;18;21;17;5;13;3;1;51;24;3;15;0;0;0;1;0;0;0;0;3;0;0;0;1;1;1;0;0;6;1;2;0;0;2;3;1;2;2;8;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;3;3;3;3;3;7;0;2;1;1;1;1;2;2;2;2;2;2;0;1;0;0;0;0;0;0;0;0;4;7;4;4;6;6;6;6;0;0;0;0;0;0;1;2;1;3;0;0;0;1;0;0;7;0;0;0;1;1;2;0;0
84;Auvergne-Rhône-Alpes;38;1;7;474;38474;Sassenage;11660;203;11863;1;0;1;2;1;0;2;3;1;0;0;0;0;0;0;0;0;2;0;0;1;3;2;0;0;4;1;1;0;0;1;1;0;0;0;0;1;1;1;2;3;0;0;0;0;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4;4;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;6;2;20;13;2;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;1;0;0;22;2;0;2;6;23;18;19;11;6;11;0;1;20;21;1;8;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;4;1;1;1;1;2;5;0;1;1;4;0;1;0;0;0;0;0;0;0;0;1;2;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;3;3;2;1;4;9;0;3;2;2;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;2;2;5;7;5;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;4;0;0;0;0;0;1;0;0
84;Auvergne-Rhône-Alpes;38;1;6;485;38485;Seyssinet-Pariset;11753;131;11884;1;0;2;3;0;1;0;3;1;0;0;0;0;0;0;1;0;2;0;0;0;9;2;0;0;2;4;0;0;0;1;2;0;1;1;0;4;3;3;1;4;3;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;4;3;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;1;1;3;0;0;2;1;0;5;2;24;30;9;0;2;1;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;1;0;0;13;1;0;4;4;16;11;15;20;2;16;2;6;27;22;1;12;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;5;1;1;1;1;1;1;0;0;2;12;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;4;12;4;4;1;3;0;1;3;3;3;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3;6;3;3;3;4;3;3;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;6;0;0;0;0;1;1;0;0
84;Auvergne-Rhône-Alpes;38;2;14;553;38553;Villefontaine;19083;250;19333;0;0;0;8;0;1;1;0;2;0;1;1;0;0;0;2;0;1;0;0;2;8;2;0;0;1;56;4;6;0;1;9;0;0;4;2;0;4;0;2;5;3;1;0;0;0;0;9;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;1;0;0;0;0;9;4;4;4;0;0;0;0;0;3;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;22;0;0;0;1;0;0;0;0;23;0;0;6;5;21;8;7;2;5;0;0;1;0;10;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;2;0;1;0;2;19;1;3;4;15;23;10;13;16;2;9;9;0;29;15;1;11;0;0;0;1;0;0;0;0;3;0;0;0;1;1;0;0;0;4;1;2;1;1;1;1;0;1;3;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;15;0;1;6;11;6;6;4;5;0;3;3;4;3;3;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;3;5;3;3;4;5;4;4;0;0;0;0;0;0;1;0;1;3;0;0;0;1;1;1;22;0;0;0;0;1;2;0;0
27;Bourgogne-Franche-Comté;39;2;99;300;39300;Lons-le-Saunier;17043;844;17887;6;1;6;5;0;2;4;7;0;1;5;2;1;0;0;4;0;5;0;3;12;19;6;1;2;13;53;11;11;2;3;2;0;2;6;3;7;11;9;3;4;4;0;0;0;0;0;10;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;0;0;0;0;0;0;4;4;0;0;0;0;0;7;6;3;0;0;0;0;0;0;4;4;0;1;2;2;0;0;2;4;3;0;0;2;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;0;1;1;0;0;1;2;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;20;4;0;0;1;3;1;1;0;8;0;1;21;4;20;21;6;2;7;3;1;7;3;15;1;1;0;1;1;0;2;1;0;0;1;0;1;1;1;0;15;5;2;1;1;27;4;3;10;25;14;12;13;10;3;39;4;8;85;30;3;15;2;1;1;6;0;1;1;2;0;0;1;1;0;2;4;0;1;9;2;3;2;2;3;3;1;2;3;18;1;1;0;0;0;0;0;0;0;0;2;4;1;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;4;8;4;4;3;4;0;2;2;6;2;2;1;3;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;3;1;1;5;8;5;4;0;0;0;0;0;0;3;12;1;3;2;3;0;0;1;1;3;0;0;1;0;7;7;1;1
75;Nouvelle-Aquitaine;40;2;7;46;40046;Biscarrosse;14551;358;14909;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;3;3;5;6;6;13;4;0;1;3;36;6;2;1;5;15;0;1;3;3;4;5;6;2;2;1;0;0;0;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;4;4;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;1;1;0;3;1;1;0;1;0;0;17;2;33;31;4;1;8;0;0;0;3;13;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9;2;1;1;0;19;2;1;7;26;25;31;19;27;10;21;4;0;119;26;3;20;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;4;1;1;1;1;2;5;0;2;3;10;0;0;0;0;0;0;0;0;0;0;2;11;2;0;1;1;0;1;1;3;0;0;0;0;0;0;0;0;0;0;4;5;1;2;0;0;0;0;2;4;0;2;1;1;1;1;3;3;3;3;2;2;0;1;1;1;0;0;0;0;0;0;1;1;1;1;2;2;2;2;0;0;0;0;0;0;1;4;0;1;1;1;0;0;1;1;1;0;0;0;0;2;13;19;3
75;Nouvelle-Aquitaine;40;1;5;279;40279;Saint-Paul-lès-Dax;14317;461;14778;2;0;3;1;1;2;3;2;2;0;1;0;0;0;0;0;2;3;4;1;5;6;3;3;1;1;32;7;5;2;13;6;0;2;5;7;6;6;5;2;2;2;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;2;2;0;0;0;0;0;0;2;2;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;0;1;0;0;0;1;6;4;25;44;5;1;5;2;0;5;2;11;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;6;2;1;0;0;25;4;0;4;18;18;12;13;21;6;17;2;6;49;18;3;12;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;3;5;1;1;1;1;1;2;0;1;1;4;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;2;4;7;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;3;7;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;1;8;3;0
75;Nouvelle-Aquitaine;40;1;15;312;40312;Tarnos;12920;305;13225;1;1;0;3;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;2;9;1;0;1;2;4;1;0;1;3;2;0;2;1;1;3;2;2;2;4;4;0;0;0;0;0;7;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;4;4;0;0;0;0;0;5;4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;7;0;0;0;2;0;2;9;4;41;31;4;3;4;0;0;2;6;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;1;2;0;13;1;0;1;13;16;19;13;13;6;19;1;0;32;21;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;1;1;0;1;2;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;2;7;2;2;4;8;0;2;1;1;1;1;2;2;2;2;1;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;4;4;4;0;0;0;0;0;0;1;12;0;1;0;0;0;1;0;0;3;0;0;0;0;2;1;1;2
24;Centre-Val de Loire;41;3;10;194;41194;Romorantin-Lanthenay;18115;454;18569;2;1;6;3;1;0;3;7;2;1;0;1;0;0;1;4;2;5;1;1;6;9;8;1;0;2;22;6;5;5;6;5;0;0;2;3;6;5;3;5;5;5;2;0;0;0;0;7;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;5;5;2;0;0;0;0;6;5;1;3;0;0;0;0;0;3;3;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1;0;2;1;0;0;1;4;0;1;6;2;23;10;2;0;7;1;0;0;2;3;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;11;4;2;0;0;26;4;0;4;43;33;19;16;24;8;30;3;8;54;18;2;9;1;1;1;1;0;1;1;3;1;0;0;0;0;1;1;0;0;5;2;3;2;2;3;3;1;3;2;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;2;0;0;5;5;5;5;6;10;0;4;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;4;6;6;6;6;0;0;0;0;0;0;1;3;0;1;0;1;0;1;1;1;4;0;0;1;1;3;4;1;1
24;Centre-Val de Loire;41;2;14;269;41269;Vendôme;15747;630;16377;5;1;5;3;0;2;5;9;2;1;0;0;0;0;1;3;1;5;1;0;6;11;8;1;0;6;34;6;5;2;3;6;1;0;7;3;8;6;5;3;6;6;0;0;0;0;0;7;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;6;6;0;0;0;0;0;6;6;0;0;0;0;0;0;0;3;3;0;1;2;2;0;0;2;1;1;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;16;3;1;2;1;7;3;3;3;15;0;3;10;6;15;10;4;3;9;3;0;0;3;8;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;10;4;2;0;0;22;3;0;4;20;17;18;6;10;7;30;2;8;51;21;4;7;3;1;0;2;0;1;1;2;0;0;1;0;2;2;2;0;0;8;2;3;1;2;2;3;0;2;3;11;1;2;0;0;0;0;0;0;0;0;1;3;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;2;3;2;2;4;10;0;4;1;4;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;3;5;3;3;6;6;6;6;0;0;0;0;0;0;1;5;0;2;0;1;0;1;2;2;3;0;0;0;1;3;6;1;2
